"","Original.address","Latitutde","Longitude"
"104","6030 S. Ellis ",41.7848153,-87.6015981
"105","940 E. 57th St. ",41.7915946,-87.6022845
"106","1101 E. 56th St.",41.7929725,-87.5999293
"107","1130 E. 59th St. ",41.7879395,-87.5981944
"108","1228 E. 53rd St. ",41.7997745,-87.5946818
"109","1407 E. 60th St. ",41.785686,-87.5910433
"110","1442 E. 59th St. ",41.7881017,-87.5898196
"111","5050 S. Lake Shore Dr.",41.803257,-87.5848411
"112","5400 S. Woodlawn",41.797814,-87.596811
"113","5500 S. Woodlawn",41.7948792,-87.5969548
"114","5525 S. Ellis ",41.794038,-87.601635
"115","5540 S. Hyde Park ",41.794176,-87.584199
"116","5800 S. Ellis ",41.7894883,-87.6012575
"117","5839 S. Maryland ",41.7885151,-87.6040574
"118","6000 S. Ellis ",41.7853698,-87.6011668
"119","850 E. 58th St. ",41.7896827,-87.6040502
"120","933 E. 56th St. ",41.7929832,-87.6025112
"121","1029 E. 57th St. ",41.7911998,-87.5999233
"122","1155 E. 60th St.",41.785371,-87.5970764
"123","1355 E. 53rd St. ",41.799484,-87.5925456
"124","1452 E. 53rd St. ",41.7997257,-87.5896855
"125","5300 S. Dorchester ",41.79931,-87.5919614
"126","5300 S. Harper",41.7994184,-87.5844536
"127","5316 S. Dorchester ",41.7987741,-87.591988
"128","5345 S. Harper ",41.7982542,-87.5888163
"129","5535 S. Ellis ",41.7939859,-87.6008615
"130","5550 S. Greenwood ",41.7934642,-87.6002004
"131","5601 S. Cottage Grove ",41.7929465,-87.6056137
"132","5608 S. Stony Island",41.792869,-87.5868373
"133","5610 S. Drexel ",41.7928524,-87.6040807
"134","5630 S. Ellis ",41.7925498,-87.6020427
"135","5700 S. Drexel ",41.7913587,-87.6037279
"136","5700 S. University",41.7914067,-87.5980738
"137","5700 S. Woodlawn ",41.7912883,-87.5968463
"138","5801 S. Dorchester ",41.7895239,-87.5909773
"139","5824 S. Stony Island ",41.789451,-87.587352
"140","5838 S. Kenwood ",41.7895847,-87.5931753
"141","5900 S. Stony Island",41.7863782,-87.5865918
"142","6000 S. Drexel",41.7858787,-87.6044278
"143","6019 S. Ingleside",41.7852751,-87.6021507
"144","6022 S. Drexel ",41.7853843,-87.6048799
"145","6420 S. University ",41.7785315,-87.5980675
"146","950 E. 61st St. ",41.784479,-87.6023214
"147","951 E. 58th St. ",41.7894277,-87.602471
"148","Unknown",NA,NA
"149","1000 E. Midway Pl.",41.7864747,-87.5989062
"150","1010 E. 59th St.",41.7879118,-87.6008291
"151","1100 E.57th St. ",41.7922117,-87.5995726
"152","1130 E. Midway Pl.",41.7868227,-87.5989132
"153","1144 E. 59th St. ",41.7877673,-87.5979953
"154","1150 E. 58th St. ",41.7896074,-87.5963982
"155","1346 E. 53rd St.",41.799808,-87.5937112
"156","1346 E. 53rd St. ",41.799808,-87.5937112
"157","1369 E. Hyde Park ",41.8021497,-87.5924144
"158","1400 E. Midway Pl.",41.7864747,-87.5989062
"159","1427 E. 60th St.",41.7857443,-87.5902956
"160","1453 E. 53rd St.",41.799292,-87.5897063
"161","1526 E. 55th St. ",41.7961907,-87.5885461
"162","1539 E. 53rd St.",41.7991982,-87.5875427
"163","1554 E. 55th St. ",41.7954837,-87.5881602
"164","1600 E. Midway Pl.",41.7864747,-87.5989062
"165","5020 S. Cornell ",41.8033751,-87.5867708
"166","5048 S. Cornell ",41.8027818,-87.5867688
"167","5107 S. Blackstone ",41.8021802,-87.590337
"168","5110 S. Kenwood ",41.801992,-87.593968
"169","5200 S. Lake Park",41.8008584,-87.5880251
"170","5235 S. Harper ",41.8000045,-87.5877278
"171","5238 S. Harper ",41.7998748,-87.589479
"172","5300 S. Drexel",41.7984208,-87.6042503
"173","5300 S. Ingleside",41.7993622,-87.6028358
"174","5300 S. Lake Park",41.7998964,-87.5885616
"175","5400 S. Ellis",41.7977632,-87.601569
"176","5400 S. Ingleside ",41.797709,-87.6031514
"177","5400 S. Lake Park",41.796979,-87.587875
"178","5401 S. Ellis",41.7976299,-87.6007588
"179","5454 S. Shore Dr. ",41.7962081,-87.5816083
"180","5455 S. Blackstone ",41.7964345,-87.5899933
"181","5500 S. Lake Park",41.7950649,-87.5878062
"182","5514 S. Blackstone ",41.7946132,-87.5910931
"183","5514 S. University ",41.794451,-87.5986154
"184","5530 S. Ellis",41.794474,-87.6016284
"185","5600 S. Cottage Grove",41.7931435,-87.6061982
"186","5600 S. Ellis ",41.7931785,-87.601339
"187","5600 S. Hyde Park",41.7934118,-87.5839052
"188","5631 S. Cottage Grove ",41.792218,-87.6057469
"189","5700 S. Blackstone ",41.79133,-87.59062
"190","5714 S. Woodlawn",41.790866,-87.596749
"191","5721 S. Maryland",41.7901841,-87.6045875
"192","5730 S. Drexel",41.7903948,-87.6038772
"193","5800 S. University ",41.7894705,-87.598024
"194","5836 S. Greenwood ",41.7932161,-87.5998069
"195","6000 S. Cottage Grove",41.7858644,-87.6060378
"196","6019 S. Ingleside ",41.7852751,-87.6021507
"197","6227 S. Cottage Grove ",41.7813616,-87.605562
"198","6300 S. Woodlawn",41.7802796,-87.5964954
"199","935 E. 56th St. ",41.792984,-87.6024664
"200","942 E. 55th St.",41.7954867,-87.6020783
"201","970 E. 58th St.",41.7897444,-87.6015497
"202","1101 E. 57th St.",41.7912614,-87.5992075
"203","1126 E. 59th St.",41.7880092,-87.5987709
"204","1212 E. 59th St.",41.7880686,-87.5956212
"205","1225 E. 60th St. ",41.7858068,-87.595222
"206","1226 E. 53rd St. ",41.7999353,-87.595523
"207","1228 E. 53rd St.",41.7997745,-87.5946818
"208","1321 E. 57th St. ",41.7912764,-87.5940065
"209","1330 E. 53rd St. ",41.799659,-87.593935
"210","1350 E. Madison Park ",41.803462,-87.592882
"211","1365 E. 60th St. ",41.7857468,-87.5917814
"212","1400 E. 47th St. ",41.8102825,-87.5922122
"213","1400 E. 53rd St. ",41.7999232,-87.5916138
"214","1418 E. 53rd St. ",41.7999386,-87.5911268
"215","1420 E. 53rd St. ",41.7997902,-87.5909647
"216","1427 E. Midway Pl.",41.7864747,-87.5989062
"217","1449 E. 57th St. ",41.79132,-87.589652
"218","1500 E. 57th St.",41.7915074,-87.5889392
"219","1500 E. 61st St.",41.7839684,-87.5887539
"220","1530 E. 53rd St. ",41.7997026,-87.5876869
"221","1554 E. 55th St.",41.7954837,-87.5881602
