"","Original address","Freq","Location.Address"
"518","1520 E. Midway Pl.",1,"1520 East Midway Plaisance"
"519","1525 E. 53rd St.",1,"1525 East 53rd Street"
"520","1525 E. 55th St. ",1,"1525 East 55th Street "
"521","1525 E. 60th St.",1,"1525 East 60th Street"
"522","1526 E. 55th St.",1,"1526 East 55th Street"
"523","1530 E. 53rd St.",1,"1530 East 53rd Street"
"524","1531 E. 53rd St.",1,"1531 East 53rd Street"
"525","1531 E. 53rd St. ",1,"1531 East 53rd Street "
"526","1534 E. Midway Pl.",1,"1534 East Midway Plaisance"
"527","1539 E. 53rd St. ",1,"1539 East 53rd Street "
"528","1540 E. Hyde Park",1,"1540 East Hyde Park"
"529","1548 E. 53rd St. ",1,"1548 East 53rd Street "
"530","1550 E. 53rd St.",1,"1550 East 53rd Street"
"531","1551 E. 60th St. ",1,"1551 East 60th Street "
"532","1555 E. 55th St. ",1,"1555 East 55th Street "
"533","1555 E. 60th St.",1,"1555 East 60th Street"
"534","1558 E. Hyde Park",1,"1558 East Hyde Park"
"535","1601 E. 55th St. ",1,"1601 East 55th Street "
"536","1602 E. 55th St. ",1,"1602 East 55th Street "
"537","1606 E. 55th St.",1,"1606 East 55th Street"
"538","1610 E. 55th St. ",1,"1610 East 55th Street "
"539","1616 E. 50th Pl.",1,"1616 East 50th Place"
"540","1635 E. 55th St. ",1,"1635 East 55th Street "
"541","1636 E. 55th St. ",1,"1636 East 55th Street "
"542","1642 E. 56th St.",1,"1642 East 56th Street"
"543","1642 E. 56th St. ",1,"1642 East 56th Street "
"544","1649 E. 56th St.",1,"1649 East 56th Street"
"545","1729 E. 55th St. ",1,"1729 East 55th Street "
"546","1749 E. 55th St.",1,"1749 East 55th Street"
"547","301 E. Garfield Blvd. ",1,"301 East Garfield Blvd. "
"548","322. E. Illinois ",1,"322. East Illinois "
"549","3722 S. Lake Park ",1,"3722 South Lake Park "
"550","3900 S. Lake Park",1,"3900 South Lake Park"
"551","4200 S. Ellis",1,"4200 South Ellis"
"552","4200 S. Ellis ",1,"4200 South Ellis "
"553","4200 S. Lake Park ",1,"4200 South Lake Park "
"554","4300 S. Cottage Grove",1,"4300 South Cottage Grove"
"555","4300 S. Drexel ",1,"4300 South Drivexel "
"556","4337 S. Berkeley ",1,"4337 South Berkeley "
"557","4353 S. Cottage Grove",1,"4353 South Cottage Grove"
"558","4410 S. Drexel ",1,"4410 South Drivexel "
"559","4424 S. Drexel ",1,"4424 South Drivexel "
"560","4444 S. Evans ",1,"4444 South Evans "
"561","44th & Cottage Grove",1,"44th and Cottage Grove"
"562","4500 S. Drexel",1,"4500 South Drivexel"
"563","4500 S. Ellis",1,"4500 South Ellis"
"564","4505 S. Drexel ",1,"4505 South Drivexel "
"565","4559 S. Oakenwald",1,"4559 South Oakenwald"
"566","4600 S. Ellis ",1,"4600 South Ellis "
"567","4600 S. Greenwood",1,"4600 South Greenwood"
"568","4602 S. Woodlawn",1,"4602 South Woodlawn"
"569","4612 S. Drexel",1,"4612 South Drivexel"
"570","4612 S. Woodlawn ",1,"4612 South Woodlawn "
"571","4623 S. Woodlawn",1,"4623 South Woodlawn"
"572","4625 S. Drexel",1,"4625 South Drivexel"
