,Incident,Location,Occured,Disposition,Notes,temp_inc
631,battery-simple : hands/fists/feet,illinois institute of technology : mies campus: a4 lot ,2/12/2016 3:05,police notified notes: iitpsd responded to the a4 parking for a disturbance between two iit students.,iitpsd responded to the a4 parking for a disturbance between two iit students.,DISTURBANCE
632,disturbance,illinois institute of technology : mies campus : state street village ,2/12/2016 11:27,housing notified notes: iitpsd responded to ssv south for a disturbance on the 4th floor.,iitpsd responded to ssv south for a disturbance on the 4th floor.,DISTURBANCE
633,injured/sick person,illinois institute of technology,2/13/2016 11:30,cleared – no further action notes: iitpsd responded to health services for a non-emergency medical transport for a iit student to mercy hospital,iitpsd responded to health services for a non-emergency medical transport for a iit student to mercy hospital,MEDICAL INCIDENT
634,administrative information,illinois institute of technology : mies campus: fraternity/sorority,2/14/2016 12:00,housing notified notes: iitpsd and housing did a walk-through of an event held at the quad.,iitpsd and housing did a walk-through of an event held at the quad.,OTHER
635,accident : motor vehicle,illinois institute of technology,2/14/2016 12:15,cleared – no further action notes: iitpsd responded to a traffic accident involving a iit student at 33rd and federal   thank you,iitpsd responded to a traffic accident involving a iit student at 33rd and federal   thank you,ACCIDENT
636,alarm : smoke,illinois institute of technology : mies campus : mccormick student village ,2/11/2016 9:50,closed – no further action notes: iitpsd responded to an active fire alarm at msv. the cause was burnt food. no flame.     thank you,iitpsd responded to an active fire alarm at msv. the cause was burnt food. no flame.     thank you,ALARM
637,injured/sick person : non-emergency medical transport : student,illinois institute of technology : mies campus : tower ,2/9/2016 10:45,closed – no further action possible notes: iitpsd responded to the iit tower for a report of a sick student. the student was provided a non-emergency medical transport to mercy hospital.,iitpsd responded to the iit tower for a report of a sick student. the student was provided a non-emergency medical transport to mercy hospital.,MEDICAL INCIDENT
638,assault-simple : hands/fists/feet,illinois institute of technology: street locations : state : 3100-3200 ,2/9/2016 10:45,closed – no further action possible notes: iitpsd took a delayed report of an simple assault of an iit student that occurred earlier in the day.   thank you,iitpsd took a delayed report of an simple assault of an iit student that occurred earlier in the day.   thank you,ASSAULT
639,alarm : fire,illinois institute of technology : mies campus : technology park ,2/8/2016 6:52,cleared – no further action notes: iitpsd responded to technology park for an active fire alarm.,iitpsd responded to technology park for an active fire alarm.,ALARM
640,well being check,illinois institute of technology : mies campus : other,2/8/2016 11:05,police notified notes: iitpsd was contacted for a well being check on an iit student.   thank you,iitpsd was contacted for a well being check on an iit student.   thank you,WELL BEING CHECK
641,trespassing : bar notice,illinois institute of technology : mies campus : stuart building ,2/5/2016 4:43,police notified notes: iitpsd responded to stuart building for a trespassing report. iitpsd detained the individual and was issued a bar notice.,iitpsd responded to stuart building for a trespassing report. iitpsd detained the individual and was issued a bar notice.,TRESPASS
642,assist other agency/department,illinois institute of technology : mies campus : street locations : state,2/5/2016 8:30,police notified notes: iitpsd responded to 31st and state street for a report of shots fired in the area involving members of the general public.   thank you,iitpsd responded to 31st and state street for a report of shots fired in the area involving members of the general public.   thank you,WEAPON
643,utility incident : elevator : entrapment,illinois institute of technology : mies campus :: carmen hall ,2/3/2016 10:45,NA,iitpsd responded to carmen hall for a report of an elevator entrapment.   thank you,UTILITY INCIDENT
644,trespassing,illinois institute of technology : mies campus : mccormick tribune campus center ,2/2/2016 7:35,NA,iitpsd responded to mtcc for a trespass report. the offender was escorted off iit property.,TRESPASS
645,accident : motor vehicle,illinois institute of technology : mies campus : b3 lot ,2/2/2016 1:00,NA,iitpsd responded to the b3 parking lot for a motor vehicle accident involving a staff members vehicle.,ACCIDENT
646,injured/sick person : emergency medical transport/ambulance : student,illinois institute of technology : vandercook ,2/2/2016 6:10,NA,iitpsd responded to vandercook 1 for a report of an injured student.   thank you,MEDICAL INCIDENT
647,utility incident : elevator : entrapment,illinois institute of technology,2/1/2016 2:14,NA,iitpsd responded to a elevator entrapment of an iit student at carmen hall,UTILITY INCIDENT
648,accident,illinois institute of technology : mies campus : tower ,2/1/2016 2:54,NA,fall outside revolving door,MEDICAL INCIDENT
649,trespassing : bar notice,illinois institute of technology : mies campus : galvin library ,2/1/2016 9:40,NA,iitpsd responded to galvin library for a trespassing report. iitpsd detained the offender and issued a barr notice.   thank you,TRESPASS
650,injured/sick person : report only : student,illinois institute of technology : mies campus : keating sports center ,1/30/2016 5:08,NA,iitpsd responded to keating sports center for an injured student report.,MEDICAL INCIDENT
651,utility incident : elevator : entrapment,illinois institute of technology : mies campus : carmen hall ,1/30/2016 11:17,NA,iitpsd responded to an elevator entrapment of an iit student in carmen hall,UTILITY INCIDENT
652,drug/narcotic offense,illinois institute of technology : mies campus : state street village ,1/31/2016 12:00,NA,iitpsd responded to ssv north for a narcotics offense involving an iit student.   thank you,NARCOTICS
653,alarm,illinois institute of technology : mies campus : 3424 s state,3/30/2016 10:00,external / vendor notified notes: iitpsd responded to an alarm activation at 3424-central building. false alarm.,iitpsd responded to an alarm activation at 3424-central building. false alarm.,ALARM
654,alarm : fire,illinois institute of technology : mies campus :3424 s state,3/30/2016 10:30,facilities notified notes: iitpsd responded to an activated fire alarm at the 3424 building. the alarm was found to be false.   thank you,iitpsd responded to an activated fire alarm at the 3424 building. the alarm was found to be false.   thank you,ALARM
655,alarm,illinois institute of technology : mies campus: fraternity/sorority,3/29/2016 5:55,cleared – no further action notes: iitpsd responded for an alarm that was accidentally activated.   thank you,iitpsd responded for an alarm that was accidentally activated.   thank you,ALARM
656,utility incident : elevator : entrapment,illinois institute of technology : vandercook ,3/28/2016 7:10,facilities notified notes: iitpsd responded to an elevator entrapment at vandercook college of music.,iitpsd responded to an elevator entrapment at vandercook college of music.,UTILITY INCIDENT
657,injured/sick person : report only : student,illinois institute of technology : mies campus: mccormick student village ,3/28/2016 5:56,cleared – no further action notes: iitpsd responded to msv lewis hall for a student that needed medical attention.   thank you,iitpsd responded to msv lewis hall for a student that needed medical attention.   thank you,MEDICAL INCIDENT
658,damage to property,illinois institute of technology : mies campus: b2 lot ,3/25/2016 12:45,closed – no further action possible notes: iitpsd took a damage to property report involving a students vehicle.,iitpsd took a damage to property report involving a students vehicle.,DAMAGE TO PROPERTY
