,Incident,Location,Occured,Disposition,Notes,temp_inc
1,disturbance,illinois institute of technology : main campus :: 3424 s state,1/29/2015 10:43,NA,"iitpsd responded to youth connection leadership academy, for a report of a disturbance.",DISTURBANCE
2,suspicious activity,illinois institute of technology : main campus : carmen hall ,1/29/2015 12:45,NA,"iitpsd responded to farr hall, for a report of suspicious activity involving an iit student.",SUSPICION
3,administrative information,illinois institute of technology : kent campus ,1/29/2015 2:50,NA,suspected theft from the barnes & noble bookstore kent college of law.   thank you,THEFT
4,larceny/theft,illinois institute of technology : off campus location,1/28/2015 5:00,NA,iitpsd took a theft report involving an iit student at an off campus location.   thank you,THEFT
5,: injured/sick person : emergency medical transport/ambulance : student,illinois institute of technology : main campus :  : 31st street : east ,1/27/2015 7:20,NA,iitpsd responded to 31st & wabash for a student who was struck by a vehicle.   thank you,ACCIDENT
6,administrative information,illinois institute of technology : main campus,1/26/2015 9:00,NA,iitpsd responded to the 17th floor of the tower to investigate apparent tampering with documents.,OTHER
7,administrative information,illinois institute of technology :: street locations : 34th street ,1/26/2015 3:30,NA,cpd had an incident that occurred off campus that ended on campus with general public members.,OTHER
8,disturbance,illinois institute of technology :: street locations : 35th street ,1/26/2015 4:00,NA,iitpsd responded to a disturbance outside the iit tower involving members of the general public.,DISTURBANCE
9,alarm : fire,illinois institute of technology : main campus :: mccormick student village ,1/26/2015 5:40,NA,iitpsd responded to msv for an active fire alarm. it was later found that the cause of the alarm was burnt food.   thank you,ALARM
10,injured/sick person : emergency medical transport/ambulance,illinois institute of technology : main campus: 3424 s state,1/23/2015 8:55,NA,iitpsd responded to 3424 for a emergency medical transport.,MEDICAL INCIDENT
11,utility incident : elevator,illinois institute of technology : main campus,1/23/2015 12:55,NA,iitpsd personnel responded to hermann hall for an elevator entrapment.,UTILITY INCIDENT
12,injured/sick person : non-emergency medical transport,illinois institute of technology : main campus : tower ,1/23/2015 4:10,NA,iitpsd responded to the tower for an iit student non-emergency transport.,MEDICAL INCIDENT
13,suspicious activity,illinois institute of technology : main campus: mccormick student village ,1/23/2015 9:45,NA,iitpsd responded to msv for smell of marijuana.   thank you,NARCOTICS
14,injured/sick person : emergency medical transport/ambulance ,illinois institute of technology : main campus ,1/22/2015 2:26,NA,"iitpsd responded to vandercook 2, , for a delayed report of an injured faculty member, which occurred on 01/20/15.",MEDICAL INCIDENT
15,drug/narcotic offense,illinois institute of technology : main campus :: mccormick student village ,1/22/2015 5:20,NA,iitpsd responded to msv for a narcotics offense.,NARCOTICS
16,alarm : smoke,illinois institute of technology : main campus : mccormick student village ,1/22/2015 9:00,NA,iitpsd responded to msv for an activated fire alarm. it was found that students had burned food on a stove.   thank you,ALARM
17,utility incident : elevator : entrapment,illinois institute of technology : kent campus ,1/21/2015 5:18,NA,elevator entrapment at kent college of law.,UTILITY INCIDENT
18,disturbance,illinois institute of technology : main campus : mccormick tribune campus center ,1/21/2015 7:10,NA,iitpsd responded to the 7/11 for an attempted theft report by members of the general public.,THEFT
19,larceny/theft : from motor vehicle,illinois institute of technology : main campus : street locations ,1/21/2015 9:15,NA,iitpsd responded to a theft from vehicle report involving an iit student.   thank you,THEFT
20,disorderly / reckless conduct,illinois institute of technology : main campus : street locations ,1/20/2015 6:00,NA,iitpsd took a disorderly conduct report involving an iit student.     thank you,DISTURBANCE
21,disturbance,illinois institute of technology : main campus  : gunsaulus hall ,1/19/2015 10:10,NA,iitpsd responded to gunaulus hall for a disturbance involving iit students.   thank you,DISTURBANCE
22,liquor law violation,illinois institute of technology : main campus :: mccormick student village ,1/17/2015 12:53,NA,iitpsd was dispatched to mccormick student lounge east hall for an underage alcohol violation.,LIQUOR LAW VIOLATION
23,larceny/theft : other,illinois institute of technology : main campus : mccormick tribune campus center ,1/17/2015 8:30,NA,"iitpsd responded to the mccormick tribune campus center., for a report of a theft that occurred on 01/16/15.   thank you",THEFT
24,injured/sick person : emergency medical transport/ambulance ,illinois institute of technology : main campus: stuart building ,1/14/2015 11:25,NA,"iitpsd responded to stuart building, for a report of an injured employee.",MEDICAL INCIDENT
25,utility incident : elevator : entrapment,illinois institute of technology : kent campus ,1/14/2015 3:20,NA,iitpsd responded to an  elevator entrapment at kent campus.   thank you,UTILITY INCIDENT
26,injured/sick person : non-emergency medical transport,illinois institute of technology : main campus : tower ,1/12/2015 2:30,NA,iitpsd responded to iit tower for a non-emergency medical transport of a shimmer student.,MEDICAL INCIDENT
27,drug/narcotic offense,illinois institute of technology : main campus : residential buildings : mccormick student village ,1/12/2015 3:30,NA,iitpsd responded to msv for a narcotic’s offense. an iit student was arrested and charged with possession of narcotics.   thank you,NARCOTICS
28,robbery : strong-arm hand/fists/feet,illinois institute of technology : other : off campus location,1/9/2015 12:20,NA,iitpsd took a strong armed robbery report involving an iit student-off campus.,ROBBERY
29,injured/sick person : report only,illinois institute of technology : main campus: machineryhall ,1/9/2015 1:41,NA,"iitpsd responded to machinery hall, for a delayed report of an injured abm employee, which occurred on 01/06/15.",MEDICAL INCIDENT
30,alarm : fire,illinois institute of technology : main campus : fraternity/sorority :kappa ,1/11/2015 4:42,NA,iitpsd responded to a fire alarm at kippa phi delta. the alarm was determined to be false.,ALARM
31,accident : motor vehicle,illinois institute of technology : main campus : carmen hall ,1/11/2015 9:11,NA,iitpsd vehicle involved in minor vehicle accident.   thank you,ACCIDENT
32,larceny/theft : shoplifting,illinois institute of technology : main campus : mccormick tribune campus center ,1/8/2015 4:40,NA,"iitpsd responded to the iit book store, located in mtcc, for a theft report.   thank you",THEFT
33,injured/sick person : non-emergency medical transport : student,illinois institute of technology : main campus: tower ,1/6/2015 3:30,NA,iitpsd conducted a non-emergency medical transport for an iit student.,MEDICAL INCIDENT
34,alarm : fire,illinois institute of technology : main campus :: mccormick student village ,1/6/2015 9:30,NA,iitpsd responded to msv for an activated fire alarm. it was found that a student had burned food in a microwave.   thank you,ALARM
35,administrative information,illinois institute of technology,1/5/2015 2:35,NA,iitpsd was notified of the unauthorized posting of an iit student’s personal information.,OTHER
36,accident : motor vehicle,illinois institute of technology : main campus : street locations :,1/5/2015 6:00,NA,iitpsd responded to 31st/state st. for a motor vehicle accident involving members of the general public.   thank you,ACCIDENT
37,utility incident : electricity,illinois institute of technology : main campus :technology park ,1/2/2015 4:10,NA,iitpsd responded to a call at tech park lsr for a supply fan.,OTHER
38,robbery : firearm,illinois institute of technology : off campus location,1/2/2015 4:15,police notified notes: iitpsd responded to farr hall for a robbery report that occurred off campus.,iitpsd responded to farr hall for a robbery report that occurred off campus.,ROBBERY
39,robbery : firearm,illinois institute of technology : off campus location,1/2/2015 4:15,police notified notes: iit students were robbed off campus at 29th and indiana. iitpsd was notified.,iit students were robbed off campus at 29th and indiana. iitpsd was notified.,ROBBERY
40,well being check,illinois institute of technology : main campus : state street village ,1/3/2015 8:15,NA,iitpsd responded at ssv middle for a well being check.   thank you,WELL BEING CHECK
41,disturbance,illinois institute of technology : main campus :: carmen hall ,12/31/2014 12:20,NA,"iitpsd responded to carmen hall, for a report of a disturbance involving iit students.",DISTURBANCE
42,larceny/theft : shoplifting,illinois institute of technology : main campus : mccormicktribune campus center ,1/1/2015 4:50,NA,iitpsd responded to 7/11 for a theft in progress. offenders were arrested.   thank you,THEFT
43,administrative information,illinois institute of technology : kent campus ,2/26/2015 8:30,NA,student worker granted access to the barnes & noble store to retrieve her property.   thank you,OTHER
44,miscellaneous incident,illinois institute of technology : main campus : gunsaulus hall ,2/25/2015 9:00,NA,iitpsd responded to gunsaulus hall for a smoking policy violation involving iit students.,OTHER
45,trespassing : bar notice,illinois institute of technology : main campus : galvin library ,2/25/2015 11:36,NA,iitpsd responded to call of a member of the general public refusing to leave galvin library.   thank you,DISTURBANCE
46,accident : motor vehicle,illinois institute of technology : main campus  : 32nd street,2/24/2015 3:26,NA,iitpsd responded to a one car accident on 32nd and state street involving a member of the general public.   thank you,ACCIDENT
47,injured/sick person : emergency medical transport/ambulance,illinois institute of technology : main campus :state street village ,2/23/2015 2:08,NA,iitpsd responded to a sick student from ssvm who was transported to the hospital.,MEDICAL INCIDENT
48,injured/sick person : non-emergency medical transport : student,illinois institute of technology : main campus :: 32nd street ,2/23/2015 4:00,NA,iitpsd took a delayed report of a hit & run involving an iit student.,ACCIDENT
49,robbery : strong-arm hand/fists/feet,illinois institute of technology : off campus location,2/23/2015 9:20,NA,iitpsd responded to two iit students who were the victims of an off campus strong armed robbery resulting in arrests.   thank you,ROBBERY
50,injured/sick person : emergency medical transport/ambulance,illinois institute of technology,2/20/2015 2:05,NA,iitpsd responded to an injured iit student who had a laceration of her ring finger.,MEDICAL INCIDENT
51,suspicious person,illinois institute of technology : kent campus ,2/20/2015 2:11,NA,suspicious person at kent law school.,SUSPICION
52,drug/narcotic offense,illinois institute of technology : main campus :: mccormick student village ,2/20/2015 8:12,NA,iitpsd responded to msv for a smell of marijuana.,NARCOTICS
53,disturbance,illinois institute of technology : main campus : mccormick tribune campus center ,2/20/2015 10:35,NA,iitpsd responded to the mtcc for a disturbance.,DISTURBANCE
54,utility incident : water,illinois institute of technology : main campus: state street village ,2/21/2015 3:15,NA,iitpsd responded to ssv fl lanudry room for a water pipe that broke.,UTILITY INCIDENT
55,injured/sick person : report only : general public/visitor,illinois institute of technology : main campus :: hermann union building ,2/21/2015 4:30,NA,iitpsd responded to a member of the general public that fainted and fell at hermann hall.,MEDICAL INCIDENT
56,utility incident : water,illinois institute of technology : main campus :engineering 1 ,2/22/2015 3:21,NA,iitpsd responded to e1 for water leak.,UTILITY INCIDENT
57,miscellaneous incident,illinois institute of technology : main campus :: fraternity/sorority ,2/22/2015 3:29,NA,iitpsd responded for an unusual occurance.,OTHER
58,alarm : smoke,illinois institute of technology : main campus : mccormick student village ,2/22/2015 7:11,NA,iitpsd responded to a smoke alarm at msv.   thank you,ALARM
59,damage to property,illinois institute of technology : main campus : mccormick tribune campus center ,2/19/2015 9:00,NA,iitpsd responded to the mccormick tribune campus center dock for a report of damage to property.   thank you,DAMAGE TO PROPERTY
60,injured/sick person : emergency medical transport/ambulance : student,illinois institute of technology : main campus : keatingsports center ,2/18/2015 4:00,NA,iitpsd responded to keating sports center for an emergency medical transport of an iit student.,MEDICAL INCIDENT
61,harassment : phone,illinois institute of technology : kent campus ,2/18/2015 4:10,NA,iitpsd responded to a report of telephone harassment at the kent college of law.   thank you,DISTURBANCE
62,disturbance,illinois institute of technology : main campus : mccormick studentvillage ,2/16/2015 2:50,NA,iitpsd took a report of two students involved in a physical altercation.   thank you,BATTERY
63,well being check,illinois institute of technology : main campus : mccormick student village -,2/13/2015 12:55,NA,a well being check was made on student.,WELL BEING CHECK
64,well being check,illinois institute of technology : main campus : mccormick student village ,2/14/2015 10:21,NA,"iitpsd responded to mccormick student village, 3241 s. wabash, to perform a well being check on a student.",WELL BEING CHECK
65,disturbance,illinois institute of technology : main campus : perlstein hall ,2/14/2015 1:25,NA,"iitpsd observed a disturbance occurring in perlstein hall, 10 w. 33rd, involving an iit student.",DISTURBANCE
66,trespassing : criminal trespass to land,illinois institute of technology : main campus : galvin library ,2/14/2015 2:12,NA,"iitpsd responded to galvin library, for a report of a theft in progress. offender was detained and the property was returned to its owner.",THEFT
67,utility incident : water,illinois institute of technology : main campus : main building ,2/15/2015 10:10,NA,iitpsd responded to the main building for a water main break.,UTILITY INCIDENT
68,utility incident : water,illinois institute of technology : main campus : 3424 ,2/15/2015 1:05,NA,iitpsd responded to a water main break in the 3424 building.   thank you,UTILITY INCIDENT
69,injured/sick person : non-emergency medical transport : student,illinois institute of technology : main campus: galvin library ,2/12/2015 12:46,NA,"iitpsd responded to galvin library, 35 w. 33rd, for a report of an injured iit student. the student was transported to the student health and wellness center and then mercy hospital.   thank you",MEDICAL INCIDENT
70,injured/sick person : report only ,illinois institute of technology : main campus :engineering 1 ,2/11/2015 8:10,NA,"iitpsd received a phone call from a member of general public to make a delayed report of a slip and fall accident, which occurred on 02/07/15, near engineering one,.",MEDICAL INCIDENT
71,injured/sick person : emergency medical transport/ambulance : employee/staff/faculty,illinois institute of technology : main campus : engineering 1 ,2/11/2015 5:20,NA,an abm employee was injured and transported to mercy hospital by cfd.,MEDICAL INCIDENT
72,alarm : fire,illinois institute of technology : main campus : mccormick student village ,2/11/2015 5:45,NA,iitpsd responded to msv for an activated fire alarm. burnt food was located in a microwave. no flame.,ALARM
73,larceny/theft : other,illinois institute of technology : main campus : keating sports center ,2/11/2015 7:13,NA,iitpsd responded to farr hall for a theft report that occurred at keating sports center   thank you,THEFT
74,injured/sick person : non-emergency medical transport : student,illinois institute of technology : main campus : tower ,2/10/2015 6:00,NA,iitpsd responded to the iit tower for a non-emergency medical transport of an iit student.   thank you,MEDICAL INCIDENT
75,accident : motor vehicle,illinois institute of technology : main campus : street locations,2/6/2015 10:55,NA,"iitpsd responded to the a4 parking lot, for a report of a hit and run occurring on state st. between 32nd st. and 33rd st.",ACCIDENT
76,miscellaneous incident,illinois institute of technology : main campus : b2 lot ,2/7/2015 4:50,NA,parking stop from b2 lot found pushed on to federal at 31st street.,OTHER
77,damage to property,illinois institute of technology : main campus : hermann union building ,2/7/2015 5:40,NA,damage to property at the bog ,DAMAGE TO PROPERTY
78,disturbance,illinois institute of technology : main campus ,2/8/2015 3:00,NA,iitpsd responded to a disturbance involving a general public member.,DISTURBANCE
79,drug/narcotic offense,illinois institute of technology : main campus : carmen hall ,2/8/2015 10:09,NA,iitpsd responded to carmen hall for smell of marajuana.   thank you,NARCOTICS
80,injured/sick person : non-emergency medical transport : student,illinois institute of technology : main campus : mccormick tribune campus center ,2/5/2015 9:15,NA,"iitpsd responded to the mccormick tribune campus center, for a report of an injured iit student.   thank you",MEDICAL INCIDENT
81,accident : motor vehicle,illinois institute of technology : main campus : street locations ,2/4/2015 12:15,NA,"iitpsd responded to technology park, for a delayed report of a three vehicle accident, which occurred near 34th st. and state st.",ACCIDENT
82,drug/narcotic offense,illinois institute of technology : main campus : mccormick student village ,2/4/2015 5:00,NA,iitpsd responded to msv for a narcotics violation.   thank you,NARCOTICS
83,injured/sick person,illinois institute of technology,2/3/2015 8:10,NA,iitpsd was notified of a slip and fall incident involving an iitri employee that occurred in the d-5 parking lot.,MEDICAL INCIDENT
84,injured/sick person,illinois institute of technology,2/3/2015 10:03,NA,iitpsd was notified of a slip and fall involving a tower employee that occurred in the d-5 parking lot.,MEDICAL INCIDENT
85,accident : motor vehicle,illinois institute of technology : main campus : b4 lot ,2/3/2015 11:25,NA,"iitpsd responded to the b4 parking lot, for a report of a minor motor vehicle accident involving a student.",ACCIDENT
86,accident : motor vehicle,illinois institute of technology : main campus : d5 lot ,2/3/2015 2:05,NA,"iitpsd responded to the d5 parking lot, for a report of a minor motor vehicle accident.",ACCIDENT
87,alarm : fire,illinois institute of technology : main campus : mccormick studentvillage ,2/3/2015 6:00,NA,iitpsd responded to msv for an activated fire alarm. it was later found that a student had burned food.,ALARM
88,injured/sick person : non-emergency medical transport : student,illinois institute of technology : main campus : keatingsports center ,2/3/2015 9:45,NA,"iitpsd conducted a non-emergency medical transport, to mercy hospital, for a student who had broken his finger.   thank you",MEDICAL INCIDENT
89,alarm : security,illinois institute of technology : kent campus ,2/2/2015 6:14,NA,security alarm activation at kent college of law.   thank you,ALARM
90,trespassing,illinois institute of technology : main campus : stuart building ,1/30/2015 12:21,NA,iiitpsd responded to a possible criminal trespass of a member of the general public at stuart building.,TRESPASS
91,disturbance,illinois institute of technology : main campus : state street village ,1/31/2015 1:07,NA,iitpsd responded to a loud noise complaint.   thank you,DISTURBANCE
92,larceny/theft : bicycles,illinois institute of technology : kent campus ,3/30/2015 7:40,NA,bicycle theft from kent college of law   thank you,THEFT
93,miscellaneous incident,illinois institute of technology : main campus : life science ,3/27/2015 10:11,NA,"iitpsd responded to life science, 3105 s. dearborn, for a report of a strong odor.",OTHER
94,injured/sick person : non-emergency medical transport : student,illinois institute of technology : main campus : tower ,3/27/2015 1:45,NA,"iitpsd responded to the iit tower, 10 w. 35th st., for a report of an injured student requesting a non-emergency medical transport to mercy hospital.",MEDICAL INCIDENT
95,damage to property,illinois institute of technology : main campus : b2 lot ,3/27/2015 2:10,NA,"iitpsd responded to the b2 parking lot, 31st and federal, for a report of damage to property.",DAMAGE TO PROPERTY
96,larceny/theft : other,illinois institute of technology : main campus : carmen hall ,3/27/2015 2:45,NA,"iitpsd responded to farr hall, 3300 s. michigan, for a report of a phone scam involving an iit student.",THEFT
97,utility incident : gas,illinois institute of technology : main campus : siegelhall ,3/27/2015 6:56,NA,iitpsd responded to siegel hall for the smell of gas.,UTILITY INCIDENT
98,injured/sick person : non-emergency medical transport,illinois institute of technology : main campus: mccormick student village ,3/28/2015 12:17,NA,a student from msv wanted to be transported to the emergency room for a foot injury.,MEDICAL INCIDENT
99,robbery,illinois institute of technology: off campus location ,3/28/2015 3:30,NA,iitpsd responded to a delayed report by an iit student who was a victim of an off campus strong arm robbery.,ROBBERY
100,alarm : fire,illinois institute of technology : main campus : mccormick student village ,3/28/2015 3:55,NA,iitpsd responded to msv for a fire alarm set off by smoke caused by burnt microwaved popcorn.,ALARM
101,suspicious activity,illinois institute of technology : main campus ,3/29/2015 1:14,NA,iitpsd observed a tower tenant allowing unauthorized access to 3424 s. state.,OTHER
102,injured/sick person : non-emergency medical transport : student,illinois institute of technology : main campus : carmen hall ,3/29/2015 8:35,NA,iitpsd responded to carmen hall for an non-emergency medical transport involving an iit student.   thank you,MEDICAL INCIDENT
103,alarm : fire,illinois institute of technology : main campus : msv – fowler,3/26/2015 11:46,NA,iitpsd responded to a fire alarm at mccormick student village caused by burnt food.   thank you,ALARM
104,injured/sick person : report only : general public/visitor,illinois institute of technology : main campus : hermann union building ,3/25/2015 4:17,NA,iitpsd responded to hermann hall for an injured person.   thank you,MEDICAL INCIDENT
105,injured/sick person : non-emergency medical transport : student,illinois institute of technology : main campus : metals building ,3/24/2015 5:45,NA,iitpsd responded to the metals building for a non-emergency medical transport involving an iit student.   thank you,MEDICAL INCIDENT
106,administrative information,illinois institute of technology,3/23/2015 10:30,NA,iitpsd responded to iitri tower for a non emergency medical transport for an iit student.,MEDICAL INCIDENT
107,disturbance,illinois institute of technology : main campus: engineering 1 ,3/23/2015 3:00,NA,iitpsd responded to the e1 building for a disturbance involving an iit student.,DISTURBANCE
108,injured/sick person : non-emergency medical transport : student,illinois institute of technology : main campus: mccormick student village ,3/23/2015 10:00,NA,iitpsd responded to msv for a non-emergency medical transport for a student.   thank you,MEDICAL INCIDENT
109,larceny/theft : other,illinois institute of technology : off campus location,3/20/2015 4:35,NA,iit student came to farr hall to make a report about being the victim of a scam over the internet.,OTHER
110,accident : motor vehicle,illinois institute of technology : main campus : street locations : dearborn ,3/20/2015 8:00,NA,vehicle hit a yellow bollard on dearborn.,ACCIDENT
111,injured/sick person : non-emergency medical transport,illinois institute of technology : main campus: state street village ,3/21/2015 11:55,NA,iitpsd responded to ssv middle for a sick student and made a non emergency transport to mercy hospital.   thank you,MEDICAL INCIDENT
112,utility incident,illinois institute of technology : main campus:engineering research ,3/19/2015 9:33,NA,"iitpsd responded to the iit incubator, for a report of a generator failure causing a loud explosion. no fire, damage,or injuries occurred.",MEDICAL INCIDENT
113,injured/sick person : emergency medical transport/ambulance : student,illinois institute of technology : main campus:technology park ,3/19/2015 3:00,NA,iitpsd responded to tech park for an emergency medical transport of an iit student   thank you,MEDICAL INCIDENT
114,disturbance,illinois institute of technology : main campus : mccormick tribune campus center ,3/18/2015 3:30,NA,iitpsd responded to 7/11 located in mtcc for a disturbance involving a member of the general public.,DISTURBANCE
115,assault-simple : verbal commands,illinois institute of technology : main campus : 3424,3/18/2015 3:50,NA,iitpsd responded to ycla for a simple assault against a teacher.   thank you,ASSAULT
116,damage to property,illinois institute of technology : main campus : tower ,3/17/2015 12:24,NA,iitpsd responded to the tower for a door which had glass blown out by the wind.,DAMAGE TO PROPERTY
117,accident : motor vehicle,illinois institute of technology : main campus : d5 lot ,3/17/2015 9:30,NA,"iitpsd responded to technology park, for a report of a minor motor vehicle accident that occurred in the d5 parking lot.   thank you",ACCIDENT
118,trespassing : criminal trespass to land,illinois institute of technology : main campus : stuart building ,3/13/2015 12:55,NA,a member of the general public was found trespassing in the stuart building on the second floor.,TRESPASS
119,injured/sick person : non-emergency medical transport : student,illinois institute of technology : main campus : perlstein hall ,3/13/2015 8:54,NA,iitpsd responded to perlstein hall for non-emergence medical transport of an iit student.,MEDICAL INCIDENT
120,injured/sick person : non-emergency medical transport : student,illinois institute of technology : main campus: gunsaulus hall ,3/14/2015 12:20,NA,iitpsd responded to gunsaulus hall for an non emergency medical transport of an iit student.   thank you,MEDICAL INCIDENT
121,damage to property,illinois institute of technology : main campus : mccormick tribune campus center ,3/12/2015 11:25,NA,iitpsd responded to mccormick tribune campus center for a report of damage to property.,DAMAGE TO PROPERTY
122,disorderly / reckless conduct,illinois institute of technology : : off campus location,3/12/2015 4:00,NA,iitpsd responded to a physical altercation involving members of the general public.,BATTERY
123,disturbance,illinois institute of technology : kent campus ,3/12/2015 4:00,NA,investigation of a disturbance at kent college of law.   thank you,DISTURBANCE
124,alarm : fire,illinois institute of technology : main campus : state street village ,3/11/2015 10:58,NA,"iitpsd responded to state street village middle, for a report of a fire alarm activation. the chicago fire department determined the alarm to be false.",ALARM
125,larceny/theft : other,illinois institute of technology : main campus : hermann union building ,3/11/2015 2:09,NA,"iitpsd responded to hermann hall, for a report of a theft in progress. offender was detained and the property was recovered.",THEFT
126,utility incident : elevator : entrapment,illinois institute of technology : main campus : stuart building ,3/11/2015 4:00,NA,iitpsd responded to the stuart building for an elevator entrapment.   thank you,UTILITY INCIDENT
127,larceny/theft : bicycles,illinois institute of technology : main campus : mccormick student village ,3/10/2015 12:05,NA,"iitpsd responded to farr hall, 3300 s. michigan, for a report of a stolen bicycle.",THEFT
128,injured/sick person : non-emergency medical transport : student,illinois institute of technology : main campus :: mccormick student village ,3/10/2015 3:10,NA,iitpsd responded to a non-emergency medical transport involving an iit student.   thank you,MEDICAL INCIDENT
129,miscellaneous incident,illinois institute of technology : main campus : galvin library ,3/9/2015 12:15,NA,iitpsd responded to galvin library regarding the misuse of an id card by a shimmer student.,OTHER
130,administrative information,illinois institute of technology : off campus location,3/9/2015 10:00,NA,iitpsd responded to hermann hall to take an off campus theft report.,THEFT
131,suspicious activity,illinois institute of technology : off campus location,3/9/2015 2:00,NA,iitpsd took a suspicious activity report involving an iit student at an off campus location.,SUSPICION
132,utility incident : elevator : entrapment,illinois institute of technology : kent campus ,3/9/2015 7:12,NA,elevator entrapment at kent college of law   thank you,UTILITY INCIDENT
133,administrative information,illinois institute of technology : kent campus ,3/6/2015 3:30,NA,"iit public safety escorted a kent faculty member to the physicians immediate care clinic,600 west adams st., chicago, il",MEDICAL INCIDENT
134,injured/sick person : non-emergency medical transport,illinois institute of technology : main campus : crown hall ,3/7/2015 6:28,NA,iitpsd responded to crown hall for a non-emergence medical transport.   thank you,MEDICAL INCIDENT
135,accident : motor vehicle,illinois institute of technology : main campus :: tower ,3/5/2015 3:20,NA,minor accident involving iitpsd patrol vehicle.,ACCIDENT
136,injured/sick person : emergency medical transport/ambulance : student,illinois institute of technology : main campus : keating sports center ,3/5/2015 9:20,NA,iitpsd responded to keating gym for a medical emergency involving an iit student.,MEDICAL INCIDENT
137,injured/sick person : emergency medical transport/ambulance,illinois institute of technology : kent campus ,3/5/2015 9:25,NA,emergency medical transport for a member of the general public from kent college of law   thank you,MEDICAL INCIDENT
138,disturbance,illinois institute of technology : main campus : mccormick student village ,3/4/2015 12:48,NA,"iitpsd responded to mccormick student village, 3241 s. wabash, for a report of a disturbance involving two iit students.",DISTURBANCE
139,injured/sick person : emergency medical transport/ambulance : student,illinois institute of technology : main campus :: mccormick student village ,3/4/2015 11:00,NA,iitpsd responded to msv for an emergency medical transport of an iit student.   thank you,MEDICAL INCIDENT
140,accident : motor vehicle,illinois institute of technology : off campus location,3/3/2015 4:00,NA,minor hit & run accident involving an iitpsd vehicle.   thank you,ACCIDENT
141,injured/sick person : non-emergency medical transport : student,illinois institute of technology : main campus : keatingsports center ,2/27/2015 11:45,NA,iitpsd responded to keating gym for a report of an iit student requesting transport to mercy hospital.,MEDICAL INCIDENT
142,larceny/theft : other,illinois institute of technology : main campus : hermann union building ,2/28/2015 5:56,NA,iitpsd responded to hermann hall for a theft from a sodexo emplyee.,THEFT
143,injured/sick person : non-emergency medical transport,illinois institute of technology : main campus :: 3424,2/28/2015 8:30,NA,iitpsd responded to 3424 for a non-emergence medical transport   thank you,MEDICAL INCIDENT
144,battery-simple,illinois institute of technology: off campus location,4/29/2015 9:28,NA,iitpsd responded to 33rd and the red line for a report of an iit faculty member being involved in an argument/ simple battery.,BATTERY
145,fire,illinois institute of technology : main campus : other : cta : green line – 34th,4/29/2015 4:50,NA,iitpsd responded to 34th/green line for a dumpster fire.   thank you,ALARM
146,larceny/theft : other,illinois institute of technology : kent campus ,4/28/2015 10:05,NA,suspected theft from kent college of law.,THEFT
147,utility incident : water,illinois institute of technology : main campus : alumni hall ,4/28/2015 12:30,NA,iitpsd responded to water leak at alumni hall.   thank you,UTILITY INCIDENT
148,suspicious activity,illinois institute of technology: parking lot ,4/27/2015 8:30,NA,iitpsd responded to hermann hall for a report of a member of the general public observed in an employee’s vehicle.   thank you,SUSPICION
149,larceny/theft : other,illinois institute of technology : main campus : mtcc ,4/24/2015 1:20,NA,iitpsd responded to the mccormick tribune campus center for a report of a theft.,THEFT
150,injured/sick person,illinois institute of technology : main campus : tower ,4/25/2015 7:00,NA,iitpsd responded to tower for a injured member of the general public.,MEDICAL INCIDENT
151,drug/narcotic offense,illinois institute of technology : main campus : mccormick student village ,4/25/2015 9:30,NA,iitpsd responded to msv for a smell of marijuana.,NARCOTICS
152,liquor law violation,illinois institute of technology : main campus : mccormick student village ,4/25/2015 9:30,NA,iitpsd responded to msv for a smell of marijuana.,NARCOTICS
153,accident : motor vehicle,illinois institute of technology : main campus :: soccer field ,4/26/2015 10:30,NA,iitpsd responded to a motor vehicle accident involving an iitpsd patrol vehicle.,ACCIDENT
154,larceny/theft : other,illinois institute of technology : main campus :: fraternity/sorority,4/26/2015 7:25,NA,iitpsd responded to a report of money missing from a member at fraternity house.   thank you,THEFT
155,disturbance,illinois institute of technology : main campus :: gunsaulus hall ,4/22/2015 1:20,NA,"iitpsd responded to gunsaulus hall, 3140 s. michigan, for a report of a disturbance between iit students.",DISTURBANCE
156,accident : motor vehicle,illinois institute of technology : main campus : 33rd street ,4/23/2015 1:00,NA,iitpsd responded to 33rd st. and michigan ave. for a report of a minor motor vehicle accident involving two iit students. no injuries occurred.,ACCIDENT
157,utility incident : elevator : entrapment,illinois institute of technology : kent campus ,4/23/2015 2:48,NA,elevator entrapment at kent college of law.,UTILITY INCIDENT
158,disorderly / reckless conduct,illinois institute of technology : main campus ,4/23/2015 10:00,NA,iitpsd responded to a report of a subject riding a dirt bike through campus grounds.   thank you,OTHER
159,disorderly / reckless conduct,illinois institute of technology : main campus : street locations : 35th street ,4/20/2015 5:00,NA,iitpsd responded to 35th/federal for a physical altercation involving members of the general public.,BATTERY
160,robbery : attempted,illinois institute of technology : main campus : street locations : state : 3000-3100 south,4/20/2015 9:40,NA,iitpsd responded to 31st/state st for an attempted robbery involving an iit student. the offenders were detained and transferred to cpd custody.,ROBBERY
161,damage to property,illinois institute of technology : main campus : mccormick tribune campus center ,4/20/2015 10:20,NA,iitpsd responded to the iit radio station for a damage to property report.   thank you,DAMAGE TO PROPERTY
162,larceny/theft : bicycles,illinois institute of technology : main campus: galvin library ,4/17/2015 9:30,NA,"iitpsd responded to farr hall, 3300 s. michigan, for a report of a stolen bicycle.",THEFT
